#,Country/territory,Date of first store,First outlet location,Max. no. ofoperatingoutlets,People per outlet,Notes
1,United States,"May 15, 1940Franchise: April 15, 1955","San Bernardino, CaliforniaDes Plaines, Illinois (Franchise)","15,000","23,000",First outlet. See McDonald's USA
55,Czech Republic(part of Czechoslovakia at the time),"March 20, 1992","Vodičkova street, Prague",119,"92,543",First McDonald's outlet to open after the Cold War. Locally known as Mekáč. See McDonald's Czech Republic
56,Guadeloupe(part of France),"April 8, 1992","Centre de Leyton Square Area, Capesterre-Belle-Eau",9,"47,838",See McDonald's French Antilles
57,Poland,"June 17, 1992","Marszałkowska Street, Warsaw in department store ""Sezam"" (now closed)",546[33],"71,496",See McDonald's Poland
58,Monaco,"November 20, 1992",Monte Carlo,1,"39,050",
59,Brunei,"December 13, 1992","Mission Hill Road, Bandar Seri Begawan",5,"92,069",See McDonald's Brunei
60,Morocco,"December 18, 1992",Casablanca,70,"602,931",First outlet in Africa and the first outlet in the Arab World; McDonald's is now present in all continents except Antarctica. See McDonald's Morocco
61,Northern Mariana Islands(territory of United States),"March 18, 1993",Saipan,2,"27,572",First outlet opened on the island of Saipan; second outlet opened in 1997
62,Israel (details),"October 14, 1993","Ayalon Mall, Ramat Gan",400,"24,000",First outlet in the Middle East. See McDonald's Israel.
63,Slovenia,"December 2, 1993","Čopova Street, Ljubljana",23,"92,042",See McDonald's Slovenia
64,Saudi Arabia,"December 8, 1993",Riyadh,412,"78,095","Home to the most McDonald's in the Middle East. First outlet in the Arabian Peninsula. See McDonalds's Central, Eastern and Northern.
See McDonald's Western and Southern"
65,Kuwait,"June 15, 1994",Kuwait City (now closed),87,"45,207","Home to the biggest McDonald's in the Middle East.[34] See McDonald's Kuwait The first McDonald's in Kuwait closed after 25 years of service due to an expired contract between McDonald's and the Touristic Enterprises Company [35]
See McDonald's Kuwait"
66,New Caledonia (territory of France),"July 26, 1994",Nouméa,4,"67,304",See McDonald's New Caledonia
67,Oman,"July 30, 1994",Salalah,34,"132,955",See McDonald's Oman
68,Egypt,"October 20, 1994",Cairo,189,"570,556",See McDonald's Egypt
69,Bulgaria,"December 10, 1994",Plovdiv,42,"149,947",See McDonald's Bulgaria
70,Bahrain,"December 15, 1994",Manama,33,"45,727",See McDonald's Bahrain
71,Latvia,"December 15, 1994",Riga,14,"131,588",First outlet in the Baltics. See McDonald's Latvia
72,United Arab Emirates,"December 21, 1994 (Dubai)  June 10, 1995 (Abu Dhabi)",Dubai (1994)  Abu Dhabi (1995) [36],203,"44,843",See McDonald's UAE
73,Estonia,"April 29, 1995",Tallinn,11,"124,171",See McDonald's Estonia
74,Romania,"June 16, 1995","Unirii Square, Bucharest[37]",102,"194,404",Locally nicknamed as Mec. See McDonald's Romania
75,Malta,"July 7, 1995",Valletta,9,"57,729",See McDonald's Malta
76,Colombia,"July 14, 1995","Centro Andino, Bogota",65,"710,000",See McDonald's Colombia
77,Slovakia,"October 14, 1995",Banská Bystrica,43,"130,004",Locally known as Mekáč. See McDonald's Slovakia
78,South Africa,"November 11, 1995","Blackheath, Gauteng",350,"170,000",First outlet in Southern Africa. See McDonald's South Africa
79,Qatar,"December 13, 1995",Doha,75,"37,273",See McDonald's Qatar
80,Honduras,"December 14, 1995",Tegucigalpa,10,"842,273",See McDonald's Honduras
81,Sint Maarten(part of Netherlands Antilles at the time),"December 15, 1995",Philipsburg,3,"13,703",
82,Croatia,"February 2, 1996",Zagreb,46,"84,170",See McDonald's Croatia
83,Samoa(named Western Samoa at the time),"March 2, 1996",Apia,1,"196,440",Facebook
84,Fiji,"May 1, 1996",Suva,4,"226,376",See McDonald's Fiji
85,Liechtenstein,"May 3, 1996",Triesen,1,"37,810",See McDonald's Switzerland
86,Lithuania,"May 31, 1996",Vilnius,17,"168,690",See McDonald's Lithuania
87,India,"October 13, 1996[38]",Delhi,600,"2,400,000",First outlet in South Asia. See McDonald's India
88,Peru,"October 18, 1996","San Isidro, Lima",29,"804,250",See McDonald's Peru
89,Jordan,"November 7, 1996",Amman,46,"249,670",See McDonald's Jordan
90,Paraguay,"November 21, 1996",Asuncion,24,"282,676",See McDonald's Paraguay
91,Dominican Republic,"November 30, 1996",Santo Domingo,23,"347,419","Country with the second most locations of McDonald's in the Caribbean, after Puerto Rico. See McDonald's Dominican Republic"
92,French Polynesia (territory of France),"December 10, 1996",Tahiti,6,"47,167",
93,Trinidad and Tobago,"May 6, 1997",The Falls at West Mall,4,"228,167","McDonald's previously had stores in Trinidad (May 6, 1997 – October 25, 2003) but closed due to low sales. Re-opened at The Falls at West Mall in 2011 and has since expanded to 5 other locations.[39]"
94,Ukraine,"May 24, 1997",Near Lukianivska metro station in Kyiv,117,"331,033","All three restaurants in the peninsula of Crimea were permanently closed after the Russian military invasion in March 2014.[40][41] The 2 restaurants in Donetsk and the only one in Luhansk were also permanently closed after the War in Donbas intensified in late 2014.[42][43] All restaurants in Ukraine were temporarily closed down due to the Russian invasion of Ukraine in February 2022; they reopened in September that same year.[44] The restaurant in Kherson was destroyed during the Russian occupation and the restaurant in Melitopol remain close as the city is under Russian control since March 2022.[45] See McDonald's Ukraine,"
95,Cyprus,"June 12, 1997",Larnaca,24,"51,841",See McDonald's Cyprus
96,Guernsey and Jersey(British Crown dependencies),"August 1, 1997",Saint Helier,1,"100,080",
97,Ecuador,"October 9, 1997","Centro Comercial Iñaquito (CCI), Quito",33,"514,216",See McDonald's Ecuador
98,Réunion(part of France),"December 14, 1997",Saint-Denis,16,"55,356",See McDonald's Réunion
99,Isle of Man (British Crown dependency),"December 15, 1997",Douglas,1,"84,287",
100,Suriname,"December 18, 1997",Paramaribo,2,"192,000",
101,Moldova,"April 30, 1998",Chișinău,10,"280,480",See McDonald's Moldova
102,Nicaragua,"July 11, 1998",Managua,8,"1,036,333","All McDonald's outlets in Nicaragua temporarily ceased operation during the Nicaraguan Civil War and were re-opened in 1998 after an absence of two decades. Amidst the war, however, one outlet continued operations as ""Donald's"".[46] See McDonald's Nicaragua"
103,Lebanon,"September 18, 1998",Beirut,23,"230,296",See McDonald's Lebanon
104,Pakistan (details),"September 19, 1998[47]",Lahore,78,"2,909,632",See McDonald's Pakistan
105,Sri Lanka,"October 16, 1998",Colombo,12,"1,848,417","On March 25, 2024, all 12 outlets were temporarily closed until further notice as a result of McDonald's terminating its agreement with its Sri Lankan franchisee, Abans Plc, after being ordered by the Colombo High Court not to use the McDonald's branding. There were also allegations of poor hygiene.[48][49][50] See McDonald's Sri Lanka"
106,Georgia,"February 5, 1999","Rustaveli Avenue, Tbilisi",23,"160,376",First outlet in the Caucasus. See McDonald's Georgia
107,Gibraltar(territory of United Kingdom),"August 13, 1999",Westside,1,"34,571",See McDonald's Spain
108,Azerbaijan,"November 6, 1999","Fountains Square, Baku",22,"450,143",See McDonald's Azerbaijan
109,French Guiana(part of France),"February 22, 2000",Cayenne,3,"148,356",See McDonald's French Antilles
110,American Samoa(territory of United States),"September 29, 2000",Pago Pago,2,"27,821",
111,Mauritius,"July 4, 2001",Port Louis,16,"81,841",See McDonald's Mauritius
112,Iraq,"August 10, 2006",Baghdad,1,"38,270,000",One outlet in Baghdad opened for U.S. Army forces fighting in the US invasion of Iraq. Not accessible for Iraqi citizens. MaDonal only in the Iraqi Kurdistan ..
113,Vietnam,"February 8, 2014",Ho Chi Minh City,33,"3,030,303",See McDonald's Vietnam
114,Western Sahara (Area occupied by Morocco),"August 10,  2017",Laayoune,1,"560,000",See [1]
